well_name,unique_id,DNA_name,rxn_id,DNA_conc,K,Mg,PEG,SecYE,Spermidine,Liposome_conc,Liposome_name,day,plate,col,row
H1,1377,CRCM,110,5.0,85,8,0,0.0,8.0,3,no_lipo,2,4,0,7
C6,1378,CRCM,111,5.0,85,17,0,0.0,8.0,3,no_lipo,2,4,5,2
F5,1379,CRCM,112,5.0,185,8,0,0.0,4.0,3,no_lipo,2,4,4,5
I14,1380,CRCM,113,5.0,185,8,0,0.0,8.0,3,no_lipo,2,4,13,8
B8,1381,CRCM,230,2.5,85,8,0,0.0,4.0,3,no_lipo,2,4,7,1
K17,1382,CRCM,231,2.5,85,17,0,0.0,8.0,3,no_lipo,2,4,16,10
C14,1383,CRCM,232,2.5,185,8,0,0.0,8.0,3,no_lipo,2,4,13,2
M21,1384,CRCM,233,2.5,185,14,0,0.625,4.0,3,no_lipo,2,4,20,12
F24,1385,CRCM,234,2.5,185,17,0,1.25,8.0,3,no_lipo,2,4,23,5
G3,1386,CRCM,364,2.5,85,14,0,0.625,0.1,3,no_lipo,2,4,2,6
P11,1387,CRCM,365,2.5,85,14,0,1.25,0.1,3,no_lipo,2,4,10,15
D4,1388,CRCM,366,2.5,135,20,0,1.25,0.1,3,no_lipo,2,4,3,3
M5,1389,CRCM,367,2.5,185,14,0,0.625,0.1,3,no_lipo,2,4,4,12
G15,1390,CRCM,368,2.5,235,14,0,0.625,0.1,3,no_lipo,2,4,14,6
C20,1391,CRCM,369,2.5,235,20,0,1.25,0.1,3,no_lipo,2,4,19,2
N6,1392,CRCM,109,5.0,85,8,0,0.0,4.0,3,no_lipo,2,4,5,13
P20,1393,CRCM,110,5.0,85,8,0,0.0,8.0,3,no_lipo,2,4,19,15
B11,1394,CRCM,111,5.0,85,17,0,0.0,8.0,3,no_lipo,2,4,10,1
O21,1395,CRCM,112,5.0,185,8,0,0.0,4.0,3,no_lipo,2,4,20,14
I19,1396,CRCM,113,5.0,185,8,0,0.0,8.0,3,no_lipo,2,4,18,8
E7,1397,CRCM,230,2.5,85,8,0,0.0,4.0,3,no_lipo,2,4,6,4
D5,1398,CRCM,231,2.5,85,17,0,0.0,8.0,3,no_lipo,2,4,4,3
M10,1399,CRCM,232,2.5,185,8,0,0.0,8.0,3,no_lipo,2,4,9,12
O4,1400,CRCM,233,2.5,185,14,0,0.625,4.0,3,no_lipo,2,4,3,14
I13,1401,CRCM,234,2.5,185,17,0,1.25,8.0,3,no_lipo,2,4,12,8
H24,1402,CRCM,364,2.5,85,14,0,0.625,0.1,3,no_lipo,2,4,23,7
E11,1403,CRCM,365,2.5,85,14,0,1.25,0.1,3,no_lipo,2,4,10,4
N11,1404,CRCM,366,2.5,135,20,0,1.25,0.1,3,no_lipo,2,4,10,13
A9,1405,CRCM,367,2.5,185,14,0,0.625,0.1,3,no_lipo,2,4,8,0
H22,1406,CRCM,368,2.5,235,14,0,0.625,0.1,3,no_lipo,2,4,21,7
N12,1407,CRCM,369,2.5,235,20,0,1.25,0.1,3,no_lipo,2,4,11,13
K4,1408,OR1A1,147,5.0,85,14,0,0.0,4.0,3,DOPC--0%PE--0%Chol,2,4,3,10
H7,1409,OR1A1,148,5.0,135,20,0,0.0,8.0,3,DOPC--0%PE--0%Chol,2,4,6,7
C23,1410,OR1A1,149,5.0,235,14,0,0.0,4.0,3,DOPC--0%PE--0%Chol,2,4,22,2
N8,1411,OR1A1,261,2.5,85,14,0,0.0,4.0,3,DOPC--0%PE--0%Chol,2,4,7,13
G16,1412,OR1A1,262,2.5,85,14,0,1.25,4.0,3,DOPC--0%PE--0%Chol,2,4,15,6
