well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row
I12,257,77,AqpZ,5.0,no_lipo,3,8,1.25,185,2,0,4,0,1,11,8
I20,258,78,AqpZ,5.0,no_lipo,3,8,1.25,185,0,0,4,0,1,19,8
N5,259,79,AqpZ,5.0,no_lipo,3,14,0.0,185,1,0,4,0,1,4,13
C6,260,80,AqpZ,5.0,no_lipo,3,8,0.0,185,2,0,4,0,1,5,2
D20,261,81,AqpZ,5.0,no_lipo,3,14,0.0,85,1,0,4,0,1,19,3
J14,262,83,AqpZ,5.0,no_lipo,3,8,0.0,85,1,0,4,0,1,13,9
I22,263,84,AqpZ,5.0,no_lipo,3,14,0.0,135,0,0,4,0,1,21,8
L2,264,85,Cat,5.0,no_lipo,3,8,0.0,85,2,0,4,0,1,1,11
H13,265,87,Cat,5.0,no_lipo,3,20,0.0,185,2,0,4,0,1,12,7
O6,266,89,Cat,2.5,no_lipo,3,20,0.0,185,0,0,4,0,1,5,14
O16,267,90,Cat,2.5,no_lipo,3,8,0.0,85,0,0,4,0,1,15,14
L15,268,94,Blank,0.0,no_lipo,3,8,0.0,85,0,0,4,0,1,14,11
H2,269,96,Blank,0.0,no_lipo,3,20,0.0,185,2,0,4,0,1,1,7
F2,270,0,CD63,5.0,DMPC,3,20,0.0,185,1,0,4,0,1,1,5
F10,271,1,CD63,5.0,DOPC,3,8,1.25,85,1,0,4,0,1,9,5
C18,272,2,CD63,5.0,DMPC,3,14,1.25,85,2,0,4,0,1,17,2
D9,273,3,CD63,5.0,DOPC,3,14,0.0,185,2,0,4,0,1,8,3
O3,274,4,CD63,5.0,DMPC,3,14,0.0,185,1,0,4,0,1,2,14
C15,275,5,CD63,5.0,DMPC,3,14,1.25,185,1,0,4,0,1,14,2
P13,276,6,CD63,5.0,DOPC,3,20,0.0,185,0,0,4,0,1,12,15
D11,277,7,CD63,5.0,DMPC,3,14,0.0,135,0,0,4,0,1,10,3
E16,278,8,CD63,5.0,DOPC,3,14,0.0,85,0,0,4,0,1,15,4
H5,279,9,CD81,5.0,DOPC,3,20,1.25,85,2,0,4,0,1,4,7
J19,280,10,CD81,5.0,DOPC,3,8,1.25,85,1,0,4,0,1,18,9
P19,281,11,CD81,5.0,DMPC,3,14,1.25,185,1,0,4,0,1,18,15
G17,282,12,CD81,5.0,DOPC,3,20,1.25,185,0,0,4,0,1,16,6
I8,283,13,CD81,5.0,DMPC,3,8,0.0,85,2,0,4,0,1,7,8
N18,284,14,CD81,5.0,DMPC,3,8,1.25,85,0,0,4,0,1,17,13
F13,285,15,CD81,5.0,DOPC,3,14,0.0,135,0,0,4,0,1,12,5
K16,286,16,CD81,5.0,DOPC,3,8,1.25,185,0,0,4,0,1,15,10
O1,287,17,CD81,5.0,DOPC,3,20,0.0,185,0,0,4,0,1,0,14
D1,288,18,CD9,5.0,DOPC,3,20,1.25,185,1,0,4,0,1,0,3
M2,289,19,CD9,5.0,DOPC,3,14,1.25,185,2,0,4,0,1,1,12
B8,290,20,CD9,5.0,DOPC,3,20,0.0,85,1,0,4,0,1,7,1
M6,291,21,CD9,5.0,DMPC,3,14,0.0,185,0,0,4,0,1,5,12
A22,292,22,CD9,5.0,DOPC,3,20,1.25,85,2,0,4,0,1,21,0
K4,293,23,CD9,5.0,DMPC,3,14,1.25,85,2,0,4,0,1,3,10
N11,294,24,CD9,5.0,DMPC,3,14,0.0,185,1,0,4,0,1,10,13
J9,295,25,CD9,5.0,DMPC,3,14,0.0,135,0,0,4,0,1,8,9
G14,296,26,CD9,5.0,DMPC,3,14,0.0,135,1,0,4,0,1,13,6
