well_name,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,combo,K
B2,MtlA,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
B20,AqpZ,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
B21,Glut,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
B22,AqpZ,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
B23,MtlA,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
B24,Mito,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
B3,Mito,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
B4,Mito,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
B5,Mito,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
B6,Glut,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
B7,B2AR,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
B8,Mito,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
B9,AqpZ,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
C1,Mito,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
C10,B2AR,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
C11,AqpZ,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
C12,Glut,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
C13,Mito,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
C14,MtlA,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
C15,MtlA,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
C16,Neu,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
C17,MtlA,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
C18,B2AR,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
C19,AqpZ,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
C2,Glut,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
C20,Blank,0.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
C21,Glut,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
C22,Glut,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
C23,Glut,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
C24,Mito,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
C3,MtlA,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
C4,Neu,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
C5,Blank,0.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
C6,Glut,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
C7,AqpZ,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
C8,MtlA,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
C9,MtlA,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
D1,Blank,0.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
D10,B2AR,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
D11,AqpZ,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
