well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,plate,row,col
L19,633.0,153,85.0,DMPC,14.0,2.0,1.25,3,Beta,5,2,11,18
A2,634.0,154,85.0,DMPC,20.0,0.0,0.0,3,Beta,5,2,0,1
G5,636.0,156,185.0,DOPC,8.0,0.0,1.25,3,Beta,5,2,6,4
C3,641.0,161,185.0,DOPC,20.0,1.0,1.25,3,Beta,5,2,2,2
D23,643.0,163,185.0,DMPC,8.0,2.0,1.25,3,Beta,5,2,3,22
L17,649.0,169,85.0,no_lipo,8.0,1.0,1.25,3,Beta,5,2,11,16
N20,651.0,171,85.0,no_lipo,14.0,2.0,0.0,3,Beta,5,2,13,19
H18,654.0,174,85.0,no_lipo,8.0,0.0,1.25,3,Beta,5,2,7,17
H17,657.0,177,85.0,no_lipo,14.0,2.0,1.25,3,Beta,5,2,7,16
D1,659.0,179,85.0,no_lipo,20.0,1.0,1.25,3,Beta,5,2,3,0
E11,660.0,180,185.0,no_lipo,8.0,0.0,1.25,3,Beta,5,2,4,10
I17,661.0,181,185.0,no_lipo,8.0,2.0,0.0,3,Beta,5,2,8,16
O19,665.0,185,185.0,no_lipo,20.0,1.0,1.25,3,Beta,5,2,14,18
C2,666.0,186,185.0,no_lipo,8.0,1.0,0.0,3,Beta,5,2,2,1
L12,671.0,191,185.0,no_lipo,20.0,2.0,0.0,3,Beta,5,2,11,11
J18,672.0,192,85.0,DOPC,8.0,0.0,0.0,3,Blank,5,2,9,17
A12,673.0,193,85.0,DOPC,8.0,1.0,1.25,3,Blank,5,2,0,11
I20,674.0,194,85.0,DOPC,14.0,0.0,1.25,3,Blank,5,2,8,19
J20,675.0,195,85.0,DOPC,14.0,2.0,0.0,3,Blank,5,2,9,19
D12,676.0,196,85.0,DOPC,20.0,1.0,0.0,3,Blank,5,2,3,11
L16,679.0,199,85.0,DMPC,8.0,2.0,0.0,3,Blank,5,2,11,15
J6,681.0,201,85.0,DMPC,14.0,2.0,1.25,3,Blank,5,2,9,5
K4,682.0,202,85.0,DMPC,20.0,0.0,0.0,3,Blank,5,2,10,3
F9,690.0,210,185.0,DMPC,8.0,1.0,0.0,3,Blank,5,2,5,8
H7,692.0,212,185.0,DMPC,14.0,0.0,0.0,3,Blank,5,2,7,6
L10,693.0,213,185.0,DMPC,14.0,1.0,1.25,3,Blank,5,2,11,9
O5,695.0,215,185.0,DMPC,20.0,2.0,0.0,3,Blank,5,2,14,4
