well_name,plate,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,SecYE,WCE,Supp
C9,3,AqpZ,5.0,135.0,DMPC,3.0,16.0,1.25,BL62,S22
D1,3,AqpZ,5.0,85.0,DOPC,3.0,16.0,0.0,BL62,S22
D10,3,Mol,5.0,135.0,DOPC,3.0,12.0,0.0,BL62,S22
D11,3,Mol,5.0,85.0,no_lipo,0.0,8.0,0.0,BL62,S22
D12,3,Neu,5.0,135.0,DOPC,3.0,8.0,1.25,BL62,S22
D13,3,AqpZ,5.0,85.0,DMPC,3.0,8.0,1.25,BL62,S22
D14,3,Mol,5.0,85.0,DMPC,3.0,16.0,1.25,BL62,S22
D15,3,Vol,5.0,135.0,no_lipo,0.0,16.0,0.0,BL62,S22
D16,3,AqpZ,5.0,85.0,DMPC,3.0,16.0,1.25,BL62,S22
D17,3,Neu,5.0,135.0,no_lipo,0.0,20.0,1.25,BL62,S22
D18,3,Vol,5.0,135.0,no_lipo,0.0,12.0,1.25,BL62,S22
D19,3,AqpZ,5.0,85.0,DMPC,3.0,8.0,1.25,BL62,S22
D2,3,Mol,5.0,85.0,DOPC,3.0,16.0,0.0,BL62,S22
D20,3,Neu,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
D21,3,Vol,5.0,135.0,DOPC,3.0,20.0,0.0,BL62,S22
D22,3,Vol,5.0,85.0,no_lipo,0.0,12.0,1.25,BL62,S22
D23,3,Mol,5.0,85.0,no_lipo,0.0,8.0,1.25,BL62,S22
D3,3,Glut,5.0,85.0,DMPC,3.0,16.0,1.25,BL62,S22
